title,sort_option,imdb_id,category,listOrder
Academy Award for Best Picture,Release Date (Descending),tt1895587,Academy Awards,9
Academy Award for Best Picture,Release Date (Descending),tt4975722,Academy Awards,8
Academy Award for Best Picture,Release Date (Descending),tt5580390,Academy Awards,7
Academy Award for Best Picture,Release Date (Descending),tt6966692,Academy Awards,6
Academy Award for Best Picture,Release Date (Descending),tt6751668,Academy Awards,5
Academy Award for Best Picture,Release Date (Descending),tt9770150,Academy Awards,4
Academy Award for Best Picture,Release Date (Descending),tt10366460,Academy Awards,3
Academy Award for Best Picture,Release Date (Descending),tt6710474,Academy Awards,2
Academy Award for Best Picture,Release Date (Descending),tt15398776,Academy Awards,1
Academy Award for Best Cinematography,Release Date (Descending),tt15398776,Academy Awards,123
Academy Award for Best Cinematography,Release Date (Descending),tt1016150,Academy Awards,122
Academy Award for Best Cinematography,Release Date (Descending),tt1160419,Academy Awards,121
Academy Award for Best Cinematography,Release Date (Descending),tt10618286,Academy Awards,120
Academy Award for Best Cinematography,Release Date (Descending),tt8579674,Academy Awards,119
Academy Award for Best Cinematography,Release Date (Descending),tt6155172,Academy Awards,118
Academy Award for Best Cinematography,Release Date (Descending),tt1856101,Academy Awards,117
Academy Award for Best Cinematography,Release Date (Descending),tt3783958,Academy Awards,116
Academy Award for Best Cinematography,Release Date (Descending),tt1663202,Academy Awards,115
Academy Award for Best Cinematography,Release Date (Descending),tt2562232,Academy Awards,114
Academy Award for Best Cinematography,Release Date (Descending),tt1454468,Academy Awards,113
Academy Award for Best Cinematography,Release Date (Descending),tt0454876,Academy Awards,112
Academy Award for Best Cinematography,Release Date (Descending),tt0970179,Academy Awards,111
Academy Award for Best Cinematography,Release Date (Descending),tt1375666,Academy Awards,110
Academy Award for Best Cinematography,Release Date (Descending),tt0499549,Academy Awards,109
Academy Award for Best Cinematography,Release Date (Descending),tt1010048,Academy Awards,108
Academy Award for Best Cinematography,Release Date (Descending),tt0469494,Academy Awards,107
Academy Award for Best Cinematography,Release Date (Descending),tt0457430,Academy Awards,106
Academy Award for Best Cinematography,Release Date (Descending),tt0397535,Academy Awards,105
Academy Award for Best Cinematography,Release Date (Descending),tt0338751,Academy Awards,104
Academy Award for Best Cinematography,Release Date (Descending),tt0311113,Academy Awards,103
Academy Award for Best Cinematography,Release Date (Descending),tt0257044,Academy Awards,102
Academy Award for Best Cinematography,Release Date (Descending),tt0120737,Academy Awards,101
Academy Award for Best Cinematography,Release Date (Descending),tt0190332,Academy Awards,100
Academy Award for Best Cinematography,Release Date (Descending),tt0169547,Academy Awards,99
Academy Award for Best Cinematography,Release Date (Descending),tt0120815,Academy Awards,98
Academy Award for Best Cinematography,Release Date (Descending),tt0120338,Academy Awards,97
Academy Award for Best Cinematography,Release Date (Descending),tt0116209,Academy Awards,96
Academy Award for Best Cinematography,Release Date (Descending),tt0112573,Academy Awards,95
Academy Award for Best Cinematography,Release Date (Descending),tt0110322,Academy Awards,94
Academy Award for Best Cinematography,Release Date (Descending),tt0108052,Academy Awards,93
Academy Award for Best Cinematography,Release Date (Descending),tt0105265,Academy Awards,92
