list_title,sort_option,imdb_id,tmdb_id,movie_title,release_date,category,listOrder
Tear Jerkers,Popularity,tt2380307,354912,Coco,2017-10-27,Thematic,13
Tear Jerkers,Popularity,tt0454921,1402,The Pursuit of Happyness,2006-12-14,Thematic,14
Tear Jerkers,Popularity,tt3741834,334543,Lion,2016-11-24,Thematic,15
Tear Jerkers,Popularity,tt0120689,497,The Green Mile,1999-12-10,Thematic,16
Tear Jerkers,Popularity,tt0398808,1265,Bridge to Terabithia,2007-02-15,Thematic,17
Tear Jerkers,Popularity,tt0086425,11050,Terms of Endearment,1983-11-20,Thematic,18
Tear Jerkers,Popularity,tt1049413,14160,Up,2009-05-28,Thematic,19
Mind Benders,Popularity,tt1375666,27205,Inception,2010-07-15,Thematic,1
Mind Benders,Popularity,tt0133093,603,The Matrix,1999-03-31,Thematic,2
Mind Benders,Popularity,tt0209144,77,Memento,2000-10-11,Thematic,3
Mind Benders,Popularity,tt6723592,577922,Tenet,2020-08-22,Thematic,4
Mind Benders,Popularity,tt0338013,38,Eternal Sunshine of the Spotless Mind,2004-03-19,Thematic,5
Mind Benders,Popularity,tt0246578,141,Donnie Darko,2001-01-19,Thematic,6
Mind Benders,Popularity,tt0137523,550,Fight Club,1999-10-15,Thematic,7
Mind Benders,Popularity,tt0816692,157336,Interstellar,2014-11-05,Thematic,8
Mind Benders,Popularity,tt2397535,206487,Predestination,2014-08-28,Thematic,9
Mind Benders,Popularity,tt0482571,1124,The Prestige,2006-10-17,Thematic,10
Mind Benders,Popularity,tt1130884,11324,Shutter Island,2010-02-14,Thematic,11
Mind Benders,Popularity,tt0390384,14337,Primer,2004-10-08,Thematic,12
Mind Benders,Popularity,tt2866360,220289,Coherence,2013-09-19,Thematic,13
Mind Benders,Popularity,tt0166924,1018,Mulholland Drive,2001-06-06,Thematic,14
Mind Benders,Popularity,tt0120382,37165,The Truman Show,1998-06-04,Thematic,15
Mind Benders,Popularity,tt1856101,335984,Blade Runner 2049,2017-10-04,Thematic,16
Mind Benders,Popularity,tt0062622,62,2001: A Space Odyssey,1968-04-02,Thematic,17
Mind Benders,Popularity,tt2543164,329865,Arrival,2016-11-10,Thematic,18
Mind Benders,Popularity,tt0167404,745,The Sixth Sense,1999-08-06,Thematic,19
Mind Benders,Popularity,tt1371111,83542,Cloud Atlas,2012-10-26,Thematic,20
Mind Benders,Popularity,tt0259711,1903,Vanilla Sky,2001-12-14,Thematic,21
